Step,Average Fitness,Survival Time,Minerals,Gas,Depth,Size,Best Individual,Best Fitness
62,12404.58887,171.2321472,2748,1313.75,11.52,124.27,Q(B(MMMaMa)EQ(Q(Q(EMaEB(EMaMaE))Q(Q(StEStE)EQ(MStEMa)St)Q(StMaMQ(Q(StQ(StMaEE)StQ(Q(MEEMa)Q(StMStMa)Q(B(MaMMM)StStE)St))Q(Q(Q(EMaESt)MaMaQ(Q(Q(MEEMa)Q(Q(EEESt)MaMaQ(Q(EStQ(MaQ(EQ(EB(MMEM)B(MaEEE)Ma)Q(Q(Q(B(MaMaME)B(MaEEMa)StQ(Q(Q(EMaESt)EStB(MMaMaMa))Q(StEStMa)Q(EB(MMaMM)StE)Q(MMMMa)))Q(B(MaMMaM)MaMaM)Q(StStMMa)Q(EEStMa))MaMB(EEMaE))Q(StEB(MEMaE)St))StMa)Q(StMEE))EStQ(Q(EMQ(B(MaMMM)StME)Q(StMaEE))EESt)))Q(Q(Q(MEMSt)Q(MaMMM)Q(MB(MaMME)B(MMEM)M)Q(StMaStSt))StStE)St)MaStSt))MMaB(EMMMa))EB(MaMEE)))Q(StStStE))EB(EMMMa)Q(Q(Q(StStStE)EQ(MMMSt)Q(B(MaMEM)StME))MaMaM))E),15812.5
63,12632.92871,173.4142914,2743.5,1310,11.3,120.69,Q(B(MMMaMa)EQ(Q(Q(EMaEB(EMaMaE))Q(Q(StEStE)EQ(MStEMa)St)Q(StMaMQ(Q(StQ(StMaEE)StQ(Q(MEEMa)Q(StMStMa)Q(B(MaMMM)StStE)St))Q(Q(Q(EMaQ(Q(EMMaSt)Q(MaEMaSt)Q(EMaEM)Q(MStStB(EEMaE)))St)MaMaQ(Q(EQ(Q(EEESt)MaMaQ(Q(EStQ(MaQ(EQ(EB(MMEM)B(MaEEE)Ma)Q(Q(Q(B(MaMaME)B(MaEEMa)StQ(Q(Q(EMaESt)EStB(MMaMaMa))Q(StEStMa)Q(EB(MMaMM)StE)Q(MMMMa)))Q(B(MaMMaM)MaMaM)Q(StStMMa)Q(EEStMa))MaMB(EEMaE))Q(StEB(MEMaE)St))StMa)Q(StMEE))EStQ(Q(EMQ(B(MaMMM)StME)Q(StMaEE))EESt)))Q(Q(Q(MEMSt)Q(MaMMM)Q(MB(MaMME)B(MMEM)M)Q(StMaStSt))StStE)St)MaStSt))MMaB(EMMMa))EB(MaMEE)))Q(StStStE))EB(EMMMa)Q(Q(Q(StStStE)EQ(MMMSt)Q(B(MaMEM)StME))MaMaM))E),15812.5
64,11733.46387,168.0821381,2954.5,1413.5,11.39,124.51,Q(B(MaMMMa)EQ(Q(Q(EMaMSt)Q(Q(StStStE)EQ(MStEQ(Q(B(MaMMM)EMaMa)Q(StMaB(MMaME)B(EMME))Q(MaStB(EMaEE)St)Q(MB(EEMM)ESt)))E)Q(MaQ(Q(MaEMSt)Q(MaMMaM)Q(MMaB(MMEMa)E)Q(EMMMa))MaQ(Q(StQ(MaMaMQ(B(MaMEE)Q(EMaMaE)Q(MaMaStE)Q(StB(MMEE)MM)))StE)Q(MMQ(Q(EMMaB(EMaMMa))Q(MaB(MMMaMa)StM)Q(MaMB(MMaEE)E)Q(B(MMaMMa)Q(Q(EMaESt)MaMaQ(Q(Q(MEEMa)Q(StMMMa)Q(B(MaMMM)StStE)St)MaStSt))ESt))B(EMMMa))Q(MMMB(MEMaE))Q(B(MaMEM)StME)))Q(StStStE))MaB(EMME)Q(Q(Q(StStStE)EQ(MMMM)Q(B(MMEM)StME))StMaM))E),15737.5
65,12309.96387,170.9571381,2776.5,1339.5,11.57,124.75,Q(B(MaMMMa)EQ(Q(Q(EMaMSt)Q(Q(StStEE)EQ(MQ(Q(StEStE)EESt)EMa)E)Q(MaQ(Q(MEEB(EMaEMa))Q(MaMMaM)Q(B(MaMaMaE)EB(EMaEM)B(MaMaMaMa))Ma)MaQ(Q(StQ(MaMaMQ(B(MaMEM)Q(EMaME)Q(MaMaStE)Q(MB(MMEE)ME)))StE)Q(MMMaB(EMMMa))Q(MMMQ(StStStMa))Q(B(MaMEM)StME)))Q(StStStE))MaB(EMME)Q(Q(Q(StStStE)EQ(MMMM)Q(B(EMEM)StME))StMaM))E),15787.5
66,12111.30371,169.4892883,2804,1355.75,10.88,120.76,Q(Q(Q(MB(EMMMa)MaSt)Q(MaStEMa)Q(MaB(MEEE)MB(EEMMa))Q(MMStSt))EQ(Q(Q(StMaMSt)Q(Q(StEStE)MaESt)Q(StMaMaQ(Q(StStStE)Q(Q(EMaMaQ(Q(Q(MEEMa)MaQ(EStStE)Q(Q(MaB(MaMMaM)MaMa)Q(MMMaMa)Q(StStESt)Q(MEStSt)))MaStSt))MMaB(EMMaMa))EQ(B(MaMEM)StEE)))Q(StStEE))EB(EMMMa)Q(Q(Q(StStStE)EQ(MMESt)Q(B(MaMEM)StEE))MaMaM))E),15912.5
67,12100.35742,170.8285675,2884,1399,11.28,132.24,Q(Q(Q(MB(EMMMa)MaSt)Q(MaStEMa)Q(MaB(MEEE)MM)Q(MMStSt))EQ(Q(Q(StMaMSt)Q(Q(StEStE)MaESt)Q(StMaMaQ(Q(StStStE)Q(Q(EMaMaQ(Q(Q(MEEMa)MaQ(EStStE)Q(Q(MaB(MaMMaM)MaMa)Q(MMMaMa)Q(StStESt)Q(MEStSt)))MaStSt))MMaB(EMMaMa))EQ(B(MaMEM)StEE)))Q(StStEE))EB(EMMMa)Q(Q(Q(StStStE)EQ(MMESt)Q(B(MaMEM)StEE))MaMaM))E),15912.5
68,12483.91113,174.2928619,2860,1390.25,11.4,138.25,Q(EMaQ(StMaMaQ(Q(Q(Q(Q(EEB(MaEEM)St)MaMaQ(Q(EEQ(MaMaStMa)Q(StMESt))EStQ(Q(EQ(StMStM)Q(B(MaEMM)StME)Q(StMaMaE))StStQ(MEEMa))))Q(MMMaB(EMMMa))Q(MMStSt)Q(B(MaMEM)StME))Q(StStStMa)Q(MStStE)Q(StMaEE))MaStSt))B(MaMEM)),15825
69,12543.96387,174.2071381,2828.5,1365.5,11.59,146.2,Q(Q(Q(MB(EMMMa)MaSt)Q(MaStEMa)Q(MaB(MEEE)MB(EEMMa))Q(MMStE))EQ(Q(Q(StMaMSt)Q(Q(StEStE)MaMSt)Q(StMaMaQ(Q(StStStE)Q(Q(EMaMaQ(Q(Q(MEEMa)MaQ(EStStE)Q(StQ(MMMaMa)Q(StStESt)Q(MEStSt)))MaStSt))MMaB(EMMaMa))EQ(B(MaMEM)StEE)))Q(StEStE))EB(EMMMa)Q(Q(Q(StStStE)EQ(MMESt)Q(B(MaMEM)StEE))MaMaM))E),15912.5
70,13115.19629,175.9357147,2612,1244.25,11.88,174.45,Q(B(MaMMMa)EQ(Q(Q(EMaMSt)Q(Q(StStEE)EQ(MQ(Q(StEStE)Q(Q(StMMaMa)Q(MB(EMMMa)B(EEMaE)B(MEEM))Q(B(MEEE)MStMa)Q(EMMaMa))EQ(MaMaStMa))EMa)E)Q(MaQ(Q(MEEB(EMaEMa))Q(MaMMaM)Q(B(MaMaMaE)EB(EMaEM)B(MaMaMaMa))Ma)MaQ(Q(StQ(MaMaMQ(B(MaMEM)Q(EMaME)Q(MaMaStE)Q(MB(MMEE)ME)))StE)Q(MMMaB(EMMMa))Q(MMMQ(StStStMa))Q(B(MaMEM)StME)))Q(StStStE))MaB(EMME)Q(Q(Q(StStStE)EQ(MMMM)Q(B(EMEM)StME))StMaM))E),15787.5
71,12514.25,166.25,2397,1142.5,11.38,172.28,Q(B(MaMMMa)EQ(Q(Q(EMaQ(Q(StMaMMa)Q(Q(Q(EMaMSt)Q(B(MMEMa)StB(MaMEMa)B(MMMaE))Q(MMaMaB(MMMaMa))Q(MB(MaEMaM)ESt))MB(EMaEM)E)Q(EMMM)Q(B(EMaMaMa)MMSt))St)Q(Q(StStEE)EQ(MQ(Q(StEStE)EESt)EMa)E)Q(MaQ(Q(MEEB(EMaEMa))Q(MaMMaM)Q(B(MaMaMaE)EB(EMaEM)B(MaMaMaMa))Ma)MaQ(Q(StQ(MaMaMQ(B(MaMEM)Q(EMaME)Q(MaMaStE)Q(MB(MMEE)ME)))StE)Q(MMMaB(EMMMa))Q(MMMQ(StStStMa))Q(B(MaMEM)StME)))Q(StStStE))MaB(EMME)Q(Q(Q(StStStE)EQ(MMMM)Q(MStME))StMaM))E),15937.5
72,12795.80371,169.7392883,2434,1162.75,11.78,182.46,Q(B(MaMMMa)EQ(Q(Q(EMaQ(Q(StMaMMa)Q(Q(Q(EMaMSt)Q(B(MMEMa)StB(MaMEMa)B(MMMaE))Q(MMaMaB(MMMaMa))Q(MB(MaEMaM)ESt))MB(EMaEE)E)Q(EMMM)Q(B(EMaMaMa)MMSt))St)Q(Q(StStEE)EQ(MQ(Q(StEStE)EESt)EMa)E)Q(MaQ(Q(MEEB(EMaEMa))Q(MaMMaM)Q(B(MaMaMaE)EB(EMaEM)B(MaMaMaMa))Ma)MaQ(Q(StQ(MaMaMQ(B(MaMEM)Q(EMaME)Q(MaMaStE)Q(MB(MMEE)ME)))StE)Q(MMMaB(EMMMa))Q(MMMQ(StStStMa))Q(B(MaMEM)StME)))Q(StStStE))MaB(EMME)Q(Q(Q(StStStE)EQ(MMMM)Q(MStME))StMaM))E),15937.5
73,11837.83887,161.6071472,2537.5,1190.25,12.14,199.75,Q(B(MaMMMa)EQ(Q(Q(EMaMSt)Q(Q(StStStE)EQ(MStEQ(Q(MaEMaMa)Q(StMaB(MMaME)B(EMME))Q(MStB(EMaEE)St)Q(MB(EEME)ESt)))Q(MMMM))Q(MaQ(Q(MaEMSt)Q(MaMMaM)Q(MMaB(MMEMa)E)Q(EMMMa))MaQ(Q(StQ(MaMaMQ(B(MaMEE)Q(EMaMaE)StQ(StB(MMEE)ME)))StE)Q(MMQ(Q(EMMaB(EMaMMa))Q(MaB(MMMaMa)StM)Q(MaQ(Q(StMaStE)EQ(MMESt)Q(B(MaMEM)StEE))B(MaMaEE)E)Q(B(MMaMMa)Q(StStESt)ESt))B(EMMMa))Q(MMMB(MEMaE))Q(B(MaMEM)StME)))Q(StStStE))MaB(EMME)Q(Q(Q(StStStE)EQ(MMMM)Q(EStME))StMaM))E),15987.5
74,12819.42871,170.2392883,2469,1157,12.25,211.58,Q(B(MaMMMa)EQ(Q(Q(EMaMSt)Q(Q(StStStE)EQ(MStEQ(Q(B(MaMMM)EMaMa)Q(StMaB(MMaME)B(EMME))Q(MStB(EMaEE)St)Q(MB(EEMM)ESt)))E)Q(MaQ(Q(MaEMSt)Q(MaMMaM)Q(MMaB(MMEMa)E)Q(EQ(StEStE)MMa))MaQ(Q(StQ(MaMaMQ(B(MaMEE)Q(Q(Q(Q(EEESt)MaMaQ(Q(EEQ(MaMaStMa)Q(StMESt))EStQ(Q(EQ(StMStM)Q(B(MaEMM)StME)Q(StMaEE))Q(MaMaMQ(B(MaMEE)Q(Q(MaStMMa)MaEM)MQ(MB(MMEE)ME)))StQ(MEEMa))))Q(MMMaB(EMMMa))Q(MMStSt)Q(B(MaMEM)StME))Q(StStMaMa)Q(MStStE)Q(StMaEE))Q(Q(Q(StB(MaMaMaMa)MaM)Q(MStEB(EMEMa))Q(EEB(MaMMaE)St)Q(B(MMME)B(EEEMa)EE))MStE)Q(MB(MMEE)ME)))StE)Q(MMQ(Q(EMMaB(EMaMMa))Q(MaB(MMMaMa)StM)MQ(B(MMaMMa)Q(Q(EMaESt)MaMaQ(Q(Q(MEEMa)Q(MB(MMMaMa)StM)Q(B(MaMMM)StStE)St)MaStSt))ESt))B(EMMMa))Q(MMEB(MEMaE))Q(B(MaMEM)StME)))Q(StStStE))MaB(EMME)Q(Q(Q(StStStE)EQ(MEMM)St)StMaM))E),16087.5
75,12567.78613,169.0178528,2540,1196,12.29,215.46,Q(B(MaMMMa)EQ(Q(Q(EMaMSt)Q(Q(StStStE)EQ(MStEQ(Q(B(MaMMM)EMaMa)Q(StMaB(MMaME)B(EMME))Q(MStB(EMaEE)St)Q(MaB(EEMM)ESt)))Q(B(MaMEM)StME))Q(MaQ(Q(MaEMSt)Q(MaMMaM)Q(MMaB(MMEMa)E)Q(EMMMa))MaQ(Q(StQ(MaMaMQ(B(MaMEE)Q(EMaMaE)Q(StMaStE)Q(StB(MMEE)ME)))StE)Q(MMQ(Q(EMMaB(EMaMMa))Q(MaB(MMMaMa)StM)Q(MaMB(MaMaEE)E)Q(B(MMaMMa)Q(Q(EMaESt)EMaQ(Q(Q(MEEMa)Q(StMMMa)Q(B(MaMMM)StStE)St)MaQ(EStMaM)St))ESt))B(EMMMa))Q(MEMB(MEMaE))Q(B(MaMEM)StME)))Q(StStStE))MaB(EMME)Q(Q(Q(StStStE)EQ(MMMM)Q(B(MMEM)StME))MaMaM))E),15937.5
76,12488.03613,166.2428589,2430,1137.5,12.31,214.66,Q(B(MaMMMa)EQ(Q(Q(EMaMSt)Q(Q(StStStE)EQ(MStEQ(Q(B(MaMMM)EMaMa)Q(Q(EMMaB(EMaMMa))MaB(MMaME)B(EMME))Q(MStB(EMaEE)St)Q(MaB(EEMM)ESt)))Q(B(MaMEM)StME))Q(MaQ(Q(MaEMSt)Q(MaMMaM)Q(MMaB(MMEMa)E)Q(EMMMa))MaQ(Q(StQ(MaMaMQ(B(MaMEE)Q(EMaMaE)Q(StMaStE)Q(StB(MMEE)ME)))StE)Q(MMQ(Q(EMMaB(EMaMMa))Q(MaB(MMMaMa)StM)Q(MaMB(MaMaEE)E)Q(B(MMaMMa)Q(Q(EMaESt)EMaQ(Q(Q(MEEMa)Q(StMMMa)Q(B(MaMMM)StStE)St)MaQ(EStMaM)St))ESt))B(EMMMa))Q(MEMB(MEMaE))Q(B(MaMEM)StME)))Q(StStStE))MaB(EMME)Q(Q(Q(StStStE)EQ(MMMM)Q(B(MMEM)StME))MaMaM))E),15937.5
77,12369.08887,164.9571381,2417,1139.75,12.38,213.85,Q(B(MaMMMa)EQ(Q(Q(MaMaMSt)Q(Q(StStStE)EQ(MStEQ(Q(B(MaMMM)EMaMa)Q(StMaB(MMaEE)B(EMME))Q(MB(EEMM)B(EMaEE)St)Q(MB(EEMM)ESt)))E)Q(MaB(MMEM)MaQ(Q(StQ(MaMaMQ(B(MaMEE)Q(EMaMaE)StQ(StB(MMEE)ME)))StE)Q(MMQ(Q(EMMaB(EMaMMa))Q(MaB(MEMaMa)StM)Q(MaMB(MaMaEE)E)Q(B(MMaMMa)MESt))E)Q(MMMB(MEMaE))Q(B(MaMEM)StME)))Q(StStStE))MaB(EMME)Q(Q(Q(StStStE)EQ(MEMM)Q(B(MMEM)StME))StEM))E),15925
78,12668.26758,168.9964294,2485,1164.25,11.91,208.63,Q(B(MaMMMa)EQ(Q(Q(EMaMSt)Q(Q(StStStE)EQ(MStEQ(Q(B(MaMMM)EMaMa)Q(StMaB(MMaME)B(EMME))Q(MStQ(StMaMSt)St)Q(MB(EEMM)ESt)))Q(MMMM))Q(MaQ(Q(MaEMSt)Q(MaMMaM)Q(MMaB(MMEMa)E)Q(EMMMa))MaQ(Q(StQ(MaMaMQ(B(MaMEE)Q(EMaMaQ(MStB(EMaEE)St))StQ(Q(EMaMSt)B(MMEE)ME)))StE)Q(MMQ(Q(EMMaB(EMaMMa))Q(MaB(MMMaMa)StM)Q(MaMB(MaMaEE)E)Q(EQ(Q(EMaESt)MaStQ(Q(Q(MEEMa)MQ(B(MaMMM)StStE)St)MaStSt))ESt))B(EMMMa))Q(EMMB(MEMaE))Q(B(MaMEM)StME)))Q(StStStE))MaB(EMME)Q(Q(Q(StStStE)EQ(MMMM)Q(B(MMEM)StME))EMaM))E),16075
79,13056.42871,171.7892914,2408,1143,12.35,223.7,Q(B(MaMMMa)EQ(Q(Q(Q(B(MaMMaE)StEB(MMaMaM))Q(MaEMSt)Q(EStMM)Q(EMaME))Q(Q(StStStE)EQ(MStEQ(Q(B(MaMMM)EMaMa)Q(StMaB(MMaEE)B(EMME))Q(MB(EEMM)B(EMaEE)E)Q(MB(EEMM)ESt)))E)Q(MaB(MMEM)MaQ(Q(StQ(MaMaMQ(Q(MStStMa)Q(EMaMaE)StQ(StB(MMEE)ME)))StE)Q(MMQ(Q(EMMaB(EMaMMa))Q(MaB(MEMaMa)StM)Q(MaMB(MaMaEE)E)Q(B(MMaMMa)MESt))E)Q(MMMB(MEMaE))Q(B(MaMEM)StME)))Q(StStStE))MaB(EMME)Q(Q(Q(StStStE)EQ(MEMM)Q(B(MMEM)StME))StEM))E),15925
80,13506.875,177.3999939,2477,1170.75,12.41,223.04,Q(B(MaMMMa)EQ(Q(Q(EMaQ(Q(StB(EMEE)MMa)Q(MaMB(EMaEM)E)Q(EMMQ(Q(B(MMaEMa)MStSt)Q(MB(MEEE)ME)Q(B(EEEM)B(MaEMaE)MaB(MaEMaM))Q(B(MMaEM)StMM)))Q(B(EMaMaMa)MMSt))St)Q(B(EMMMa)EQ(MQ(Q(StEStE)EQ(EStStE)St)EMa)E)Q(MaQ(Q(MEMB(EMaEMa))Q(MaMMaM)Q(B(MaMaMaE)EB(EMaEM)B(MaMaMaMa))Ma)MaQ(MaQ(MStMaB(EMMMa))Q(MMMQ(StStStMa))Q(B(MaMEM)StME)))Q(StStStE))MB(EMME)Q(Q(Q(StStStE)EQ(MMMM)Q(B(EMEM)StME))StMaM))E),15875
81,11745.80371,159.0142822,2429.5,1150.75,11.76,210.93,Q(B(MaMMMa)EQ(Q(Q(EMaMSt)Q(Q(StStEE)EQ(MQ(Q(StEStE)Q(Q(StMMaMa)Q(MB(EMMMa)B(EEMaE)B(MEEM))Q(B(MEEE)MQ(Q(MStStMa)EQ(StMaB(EEMM)M)Q(StMMaM))Ma)Q(EMMaMa))EQ(MaMaStMa))EMa)E)Q(MaQ(Q(MEEB(EMaEMa))Q(MaMMaM)Q(B(MaMaMaE)EB(EMaEM)Ma)Ma)MaQ(Q(MQ(MaMaMQ(B(MaMEM)Q(EMaME)Q(MaMaStE)Q(MB(MMEE)ME)))StE)Q(MMMaB(EMMMa))Q(MMMQ(StStStM))Q(B(MaMEM)StME)))Q(StStStE))MaB(EMME)Q(Q(Q(StMaStE)EQ(MMMM)Q(B(EMEM)StME))StMaM))E),15987.5
82,12218.10742,164.1535645,2455,1161.5,12.1,222.63,Q(B(MaMMMa)EQ(Q(Q(EMaMSt)Q(Q(StStEQ(Q(EB(MEMMa)EE)Q(B(MMaEE)MaMB(EMMaM))Q(StB(MaMEMa)B(EEMaM)M)Q(EEMaE)))EQ(MQ(Q(StEStE)Q(Q(StMMaMa)Q(MB(EMMMa)B(EEMaE)B(MEEM))Q(B(MEEE)MQ(Q(MStStMa)Q(B(MaMaME)EB(EMaMaE)M)Q(StMaB(EEMM)M)Q(StMMaM))Ma)Q(EMMaMa))EQ(MaMaStSt))EMa)E)Q(MaQ(Q(MEEB(EMaEMa))Q(MaMMaM)Q(B(MaMaMaE)EB(EMaEM)Ma)Ma)MaQ(Q(MQ(MaMaMQ(B(MaMEM)Q(EMaME)Q(MaMaStE)Q(MB(MMEE)ME)))StE)Q(MMMaB(EMMMa))MQ(B(MaMEM)StME)))Q(StStStE))MaB(EMME)Q(Q(Q(StStStE)EMQ(B(EMEM)StME))StMaM))E),15937.5
83,11989.23242,161.9535675,2457.5,1165.75,12.5,223.02,Q(B(MaMMMa)EQ(Q(Q(EMaMSt)Q(Q(StStEQ(Q(EB(MEMMa)EE)Q(B(MMaEE)MaMB(EMMaM))Q(StB(MaMEMa)B(EEMaM)M)Q(EEMaE)))EQ(MQ(Q(StEStE)Q(Q(StMMaMa)Q(MB(EMMMa)B(EEMaE)B(MEEM))Q(B(MEEE)MQ(Q(MStStMa)Q(B(MaMaME)EB(EMaMaE)M)Q(StMaB(EEMM)M)Q(StMMaM))Ma)Q(EMMaMa))EQ(MaMaStSt))EMa)E)Q(MaQ(Q(MEEB(EMaEMa))Q(MaMMaM)Q(B(MaMaMaE)EB(EMaEM)Ma)Ma)MaQ(Q(MQ(MaMaMQ(B(MaMEM)Q(EMaME)Q(MaMaStE)Q(MB(MMEE)ME)))StE)Q(MMMaB(EMMMa))MQ(B(MaMEM)StME)))Q(StStStE))MaB(EMME)Q(Q(Q(StStStE)EMQ(B(EMEM)StME))StMaM))E),15937.5
84,12260.51758,165.7714233,2518.5,1198.75,13.52,244.43,Q(B(MaMMMa)EQ(Q(Q(EMaMSt)Q(Q(StStEQ(Q(EB(MEMMa)EE)Q(B(MMaEE)MaMB(EMMaM))EQ(EEMaE)))EQ(MQ(Q(StEStE)Q(Q(StMMaMa)Q(MB(EMMMa)B(EEMaE)B(MEEM))Q(B(MEEE)MQ(Q(MStStMa)Q(B(MaMaME)EB(EMaMaE)M)Q(StMaB(EEMM)M)Q(StMMaM))Ma)Q(EMMaMa))EQ(MaMaStSt))EMa)E)Q(MaQ(Q(MEEB(EMaEMa))Q(MaMMaM)Q(B(MaMaMaE)EB(EMaEM)Ma)Ma)MaQ(Q(MQ(MaMaMQ(B(MaMEM)Q(EMaME)Q(MaMaStE)Q(MB(MMEE)ME)))StE)Q(MMMaB(EMMMa))MQ(B(MaMEM)StME)))Q(StStStE))MaB(EMME)Q(Q(Q(StStStE)EMQ(B(EMEM)StME))StMaM))E),15937.5
